act,cat
add,dad
aft,fat
amp,map
ant,tan
ape,pea
arc,car
are,ear
are,era
ear,era
arm,ram
arm,mar
art,rat
art,tar
ate,eat
eat,tea
ate,tea
bad,dab
bag,gab
bar,bra
bat,tab
but,tub
car,arc
cat,act
dad,add
dam,mad
doc,cod
dew,wed
dog,god
don,nod
gas,sag
gel,leg
had,dah
has,ash
how,who
hug,ugh
its,sit
kin,ink
mug,gum
nap,pan
nay,any
net,ten
nip,pin
not,ton
now,own
now,won
own,won
opt,top
top,pot
top,pot
pal,lap
pat,tap
pit,tip
rep,per
saw,was
sue,use
two,tow
urn,run
war,raw
way,yaw
yah,hay
yap,pay
yea,aye
par,rap
aide,idea
bake,beak
bear,bare
best,bets
blot,bolt
blow,bowl
boss,sobs
brag,garb
brag,grab
garb,grab
bury,ruby
cafe,face
calm,clam
cans,scan
care,race
carp,crap
cars,scar
case,aces
cask,sack
cast,acts
acts,cats
cast,cats
chin,inch
chit,itch
chum,much
clay,lacy
cloud,could
cola,coal
cone,once
cork,rock
deaf,fade
dear,dare
dare,read
dear,read
dial,laid
dice,iced
diet,tide
diet,edit
tide,edit
disk,skid
disk,kids
skid,kids
doom,mood
east,eats
east,seat
east,teas
eats,seat
teas,seat
egos,goes
evil,live
evil,vile
vile,live
fast,fats
fear,fare
feat,fate
feel,flee
felt,left
fist,fits
flog,golf
form,from
fowl,wolf
fowl,flow
flow,wolf
fuel,flue
gasp,gaps
gulp,plug
hate,heat
heir,hire
hewn,when
hoes,hose
hoes,shoe
shoe,hose
host,shot
hubs,bush
icon,coin
idle,lied
inks,skin
item,time
jest,jets
kale,lake
kale,leak
lake,leak
keen,knee
kiln,link
kiss,skis
lamb,balm
lamp,palm
laps,slap
last,salt
last,slat
slat,salt
lays,slay
leek,keel
lead,deal
left,felt
liar,rail
lime,mile
lips,slip
list,slit
list,silt
silt,slit
loin,lion
loot,tool
lots,lost
lost,slot
lots,slot
lump,plum
lure,rule
mace,came
mare,ream
mats,mast
mean,name
meat,tame
meat,team
tame,team
mush,hums
near,earn
neon,none
node,done
note,tone
nude,dune
ours,sour
pace,cape
pale,leap
pale,plea
plea,leap
palm,lamp
pear,reap
peat,tape
pier,ripe
pins,spin
pore,rope
pots,post
pots,spot
pots,stop
pots,tops
post,spot
post,stop
post,tops
spot,stop
stop,tops
race,acre
race,care
care,acre
rats,star
rats,arts
star,arts
pear,pare
pare,reap
rear,rare
ring,grin
moor,room
rose,sore
runs,urns
ruts,rust
saps,pass
saps,spas
pass,spas
scab,cabs
scar,arcs
arcs,cars
sear,ears
shut,huts
silo,oils
silo,soil
soil,oils
sink,skin
snag,nags
snag,sang
sang,nags
soak,oaks
sole,lose
sore,ores
sore,rose
sore,roes
rose,roes
rose,ores
roes,ores
owns,sown
snow,sown
snow,owns
step,pets
step,pest
pets,pest
stew,west
stew,wets
wets,west
surf,furs
sues,uses
late,tale
meat,mate
mate,team
mate,tame
tens,sent
what,thaw
tier,tire
tire,rite
tier,rite
pits,spit
spit,tips
tips,pits
tour,rout
tray,arty
vase,save
vats,vast
veil,vile
veil,live
vein,vine
veto,vote
vial,vail
wake,weak
draw,ward
wand,dawn
warp,wrap
wigs,swig
agree,eager
alloy,loyal
being,begin
below,elbow
below,bowel
bowel,elbow
break,baker
caned,dance
canoe,ocean
cause,sauce
cents,scent
charm,march
chase,aches
clams,calms
codes,coeds
coed,code
crews,screw
dairy,diary
dikes,skied
dozen,zoned
drier,rider
eager,agree
exist,exits
fiber,brief
filed,field
fired,fried
flees,feels
flesh,shelf
forth,froth
freak,faker
freed,defer
fries,fires
fuels,flues
glare,large
great,grate
gulps,plugs
halls,shall
hated,death
heirs,hires
hikes,sheik
hocks,shock
hooks,shook
hoses,shoes
ideas,aides
infer,finer
items,times
kills,skill
lambs,balms
lapse,leaps
layer,early
layer,relay
relay,early
leeks,sleek
sleek,keels
leper,repel
licks,slick
lures,rules
lured,ruled
meals,males
melon,lemon
melts,smelt
moist,omits
nails,snail
needs,dense
night,thing
ought,tough
panel,plane
parks,spark
peaks,speak
pedal,plead
pelts,slept
pools,loops
pools,spool
spool,loops
ports,sport
posts,stops
posts,spots
quite,quiet
reset,steer
reset,trees
trees,steer
rifle,flier
robed,bored
robes,sober
sober,bores
roses,sores
runts,turns
saint,stain
saint,satin
satin,stain
sale,seal
scare,acres
scare,races
sharp,harps
shout,south
shrub,brush
siren,resin
siren,rinse
siren,risen
resin,rinse
resin,risen
rinse,risen
snail,slain
slime,limes
slime,miles
slime,smile
smash,shams
snap,span
spill,pills
split,spilt
spore,pores
spore,prose
spore,ropes
pores,prose
prose,ropes
spray,prays
stack,tacks
stalk,talks
stick,ticks
stilt,tilts
strap,parts
strap,traps
trap,part
swap,wasp
wasp,paws
swap,paws
study,dusty
swing,wings
swiper,wipers
tacit,attic
talks,stalk
tame,mate
there,three
thing,night
mite,time
item,mite
trace,cater
cater,crate
trace,crate
cater,react
crate,react
trace,react
tram,mart
trams,smart
marts,smart
trout,tutor
unite,untie
verse,serve
viral,rival
votes,stove
wades,sawed
waist,waits
waste,sweat
adverb,braved
afield,failed
antler,learnt
caller,cellar
cellar,recall
recall,caller
comics,cosmic
dashed,shaded
dealer,leader
expect,except
feasts,safest
filets,itself
filler,refill
former,reform
farmed,framed
friend,finder
fringe,finger
grease,agrees
hearty,earthy
heater,reheat
hocked,choked
hustle,sleuth
impart,armpit
insect,nicest
insult,sunlit
joiner,rejoin
kisser,skiers
lashes,hassle
laymen,namely
limped,dimple
listen,silent
manors,ransom
sample,maples
marine,airmen
marine,remain
airmen,remain
mating,taming
meteor,remote
mobbed,bombed
molest,motels
packer,repack
plate,petal
plates,staple
petals,staple
points,piston
poodle,looped
poodle,pooled
potion,option
pronto,proton
reared,dearer
reared,reader
reared,reread
dearer,reader
dearer,reread
reader,reread
recede,decree
antler,rental
rental,learnt
opener,reopen
repaid,diaper
resell,seller
resist,sister
ripens,sniper
luring,ruling
rustic,citrus
scared,sacred
sector,escort
sender,denser
shames,mashes
spinal,plains
state,taste
stake,steak
trains,strain
sublet,subtle
battle,tablet
tacker,racket
toughs,sought
trial,trail
unbred,burden
unbred,burned
burned,burden
unrobe,bourne
untidy,nudity
united,untied
uppers,supper
vector,covert
vetoed,devote
viewer,review
vowels,wolves
arising,raising
cocaine,oceanic
seaside,disease
framing,farming
infests,fitness
thicken,kitchen
overlay,layover
sonless,lessons
lookout,outlook
surname,manures
martial,marital
remark,marker
painter,repaint
postman,tampons
praised,despair
praised,diapers
despair,diapers
present,repents
present,serpent
repents,serpent
printer,reprint
rebuild,builder
recital,article
painter,pertain
repaint,pertain
rescued,secured
rescued,seducer
secured,seducer
reserve,reverse
ripples,slipper
saltier,realist
saltier,retails
retails,realist
section,notices
senator,treason
sensual,unseals
shotgun,gunshot
silence,license
silver,sliver
terrain,trainer
rethink,thinker
trashed,hardest
trashed,hatreds
trashed,threads
hardest,hatreds
hardest,threads
hatred,thread
worried,wordier
weather,wreathe
cheat,teach
cheater,teacher
hectare,teacher
hectare,cheater
backward,drawback
imprints,misprint
lessened,needless
listen,enlist
enlist,silent
mutilate,ultimate
nameless,salesmen
overhang,hangover
protein,pointer
refining,infringe
relation,oriental
roasting,organist
stealing,genitals
sunlight,hustling
